customerID,SeniorCitizen,tenure,Contract,MonthlyCharges,TotalCharges,gender_Female,gender_Male,Partner_No,Partner_Yes,Dependents_No,Dependents_Yes,PhoneService_No,PhoneService_Yes,MultipleLines_No,MultipleLines_No phone service,MultipleLines_Yes,InternetService_DSL,InternetService_Fiber optic,InternetService_No,OnlineSecurity_No,OnlineSecurity_No internet service,OnlineSecurity_Yes,OnlineBackup_No,OnlineBackup_No internet service,OnlineBackup_Yes,DeviceProtection_No,DeviceProtection_No internet service,DeviceProtection_Yes,TechSupport_No,TechSupport_No internet service,TechSupport_Yes,StreamingTV_No,StreamingTV_No internet service,StreamingTV_Yes,StreamingMovies_No,StreamingMovies_No internet service,StreamingMovies_Yes,PaperlessBilling_No,PaperlessBilling_Yes,PaymentMethod_Bank transfer (automatic),PaymentMethod_Credit card (automatic),PaymentMethod_Electronic check,PaymentMethod_Mailed check
1680-VDCWW,0.0,0.16666666666666666,0.5,0.015422885572139305,0.02116893607200554,False,True,False,True,True,False,False,True,True,False,False,False,False,True,False,True,False,False,True,False,False,True,False,False,True,False,False,True,False,False,True,False,True,False,True,False,False,False
1066-JKSGK,0.0,0.013888888888888888,0.0,0.018905472636815884,0.00015578121393953342,False,True,True,False,True,False,False,True,True,False,False,False,False,True,False,True,False,False,True,False,False,True,False,False,True,False,False,True,False,False,True,False,True,False,False,False,False,True
3638-WEABW,0.0,0.8055555555555555,1.0,0.4144278606965174,0.4022963304869605,True,False,False,True,True,False,False,True,False,False,True,True,False,False,True,False,False,False,False,True,True,False,False,False,False,True,True,False,False,True,False,False,False,True,False,True,False,False
6322-HRPFA,0.0,0.6805555555555555,0.0,0.4114427860696518,0.34058389106854375,False,True,False,True,False,True,False,True,True,False,False,True,False,False,False,False,True,False,False,True,True,False,False,False,False,True,True,False,False,True,False,False,True,False,False,True,False,False
6865-JZNKO,0.0,0.41666666666666663,0.0,0.3686567164179104,0.17445188091391645,True,False,True,False,True,False,False,True,True,False,False,True,False,False,False,False,True,False,False,True,True,False,False,True,False,False,True,False,False,True,False,False,False,True,True,False,False,False
6467-CHFZW,0.0,0.6527777777777778,0.0,0.8069651741293532,0.545851603969536,False,True,False,True,False,True,False,True,False,False,True,False,True,False,True,False,False,False,False,True,True,False,False,True,False,False,False,False,True,False,False,True,False,True,False,False,True,False
8665-UTDHZ,0.0,0.013888888888888888,0.0,0.11890547263681589,0.0013154858066005077,False,True,False,True,False,True,True,False,False,True,False,True,False,False,True,False,False,False,False,True,True,False,False,True,False,False,True,False,False,True,False,False,True,False,False,False,True,False
5248-YGIJN,0.0,1.0,1.0,0.7164179104477612,0.7328236787445188,False,True,False,True,True,False,False,True,False,False,True,True,False,False,False,False,True,False,False,True,False,False,True,False,False,True,False,False,True,False,False,True,False,True,False,True,False,False
8773-HHUOZ,0.0,0.2361111111111111,0.0,0.4621890547263682,0.12396722824832679,True,False,True,False,False,True,False,True,True,False,False,True,False,False,True,False,False,True,False,False,True,False,False,True,False,False,False,False,True,False,False,True,False,True,False,False,False,True
3841-NFECX,1.0,0.986111111111111,1.0,0.7771144278606964,0.778692591737826,True,False,False,True,True,False,False,True,False,False,True,False,True,False,False,False,True,False,False,True,False,False,True,False,False,True,True,False,False,True,False,False,False,True,False,True,False,False
4929-XIHVW,1.0,0.027777777777777776,0.0,0.7686567164179104,0.01879183014078006,False,True,False,True,True,False,False,True,True,False,False,False,True,False,True,False,False,True,False,False,False,False,True,True,False,False,False,False,True,False,False,True,False,True,False,True,False,False
6827-IEAUQ,0.0,0.375,0.5,0.47661691542288565,0.21412993307177478,True,False,False,True,False,True,False,True,True,False,False,True,False,False,False,False,True,False,False,True,False,False,True,False,False,True,True,False,False,True,False,False,True,False,False,False,False,True
7310-EGVHZ,0.0,0.013888888888888888,0.0,0.019402985074626844,0.0001615508885298867,False,True,True,False,True,False,False,True,True,False,False,False,False,True,False,True,False,False,True,False,False,True,False,False,True,False,False,True,False,False,True,False,True,False,True,False,False,False
3413-BMNZE,1.0,0.013888888888888888,0.0,0.26865671641791045,0.003052157858296792,False,True,True,False,True,False,False,True,True,False,False,True,False,False,True,False,False,True,False,False,True,False,False,True,False,False,True,False,False,True,False,False,True,False,True,False,False,False
6234-RAAPL,0.0,1.0,1.0,0.8124378109452737,0.8346295868912993,True,False,False,True,False,True,False,True,False,False,True,False,True,False,False,False,True,False,False,True,True,False,False,False,False,True,False,False,True,True,False,False,True,False,True,False,False,False
6047-YHPVI,0.0,0.06944444444444445,0.0,0.5119402985074627,0.034398799907685206,False,True,True,False,True,False,False,True,True,False,False,False,True,False,True,False,False,True,False,False,True,False,False,True,False,False,True,False,False,True,False,False,False,True,False,False,True,False
6572-ADKRS,0.0,0.6388888888888888,0.0,0.5626865671641791,0.40728132933302563,True,False,True,False,True,False,False,True,True,False,False,False,True,False,True,False,False,True,False,False,False,False,True,True,False,False,True,False,False,True,False,False,False,True,False,True,False,False
5380-WJKOV,0.0,0.4722222222222222,0.0,0.8766169154228854,0.4073909531502423,False,True,True,False,True,False,False,True,False,False,True,False,True,False,True,False,False,False,False,True,False,False,True,True,False,False,False,False,True,False,False,True,False,True,False,False,True,False
8168-UQWWF,0.0,0.15277777777777776,0.0,0.7920398009950248,0.12538656819755367,True,False,True,False,True,False,False,True,False,False,True,False,True,False,True,False,False,True,False,False,False,False,True,True,False,False,False,False,True,False,False,True,False,True,True,False,False,False
8865-TNMNX,0.0,0.1388888888888889,0.5,0.3114427860696517,0.05272328640664667,False,True,False,True,False,True,False,True,True,False,False,True,False,False,True,False,False,False,False,True,True,False,False,True,False,False,True,False,False,True,False,False,True,False,False,False,False,True
9489-DEDVP,0.0,0.9722222222222222,1.0,0.5069651741293533,0.5600680821601662,True,False,False,True,False,True,False,True,False,False,True,True,False,False,False,False,True,False,False,True,True,False,False,True,False,False,False,False,True,True,False,False,False,True,False,True,False,False
9867-JCZSP,0.0,0.2361111111111111,0.5,0.02487562189054726,0.04609393030233095,True,False,False,True,False,True,False,True,True,False,False,False,False,True,False,True,False,False,True,False,False,True,False,False,True,False,False,True,False,False,True,False,True,False,False,False,False,True
4671-VJLCL,0.0,0.875,1.0,0.6129353233830845,0.5588102930994692,True,False,True,False,True,False,False,True,False,False,True,True,False,False,False,False,True,False,False,True,False,False,True,False,False,True,False,False,True,True,False,False,False,True,False,True,False,False
4080-IIARD,0.0,0.18055555555555555,0.0,0.5766169154228856,0.11108354488806832,True,False,False,True,True,False,False,True,False,False,True,True,False,False,False,False,True,False,False,True,True,False,False,False,False,True,False,False,True,True,False,False,False,True,False,False,True,False
3714-NTNFO,0.0,0.6805555555555555,0.0,0.6592039800995024,0.44863835679667663,True,False,True,False,True,False,False,True,False,False,True,False,True,False,True,False,False,True,False,False,True,False,False,True,False,False,True,False,False,False,False,True,False,True,False,False,True,False
5948-UJZLF,0.0,0.027777777777777776,0.0,0.30845771144278605,0.009023771059312256,False,True,True,False,True,False,False,True,True,False,False,True,False,False,True,False,False,False,False,True,True,False,False,True,False,False,True,False,False,True,False,False,True,False,False,False,False,True
7760-OYPDY,0.0,0.027777777777777776,0.0,0.6208955223880598,0.014464574198015234,True,False,True,False,True,False,False,True,True,False,False,False,True,False,True,False,False,True,False,False,True,False,False,True,False,False,False,False,True,True,False,False,False,True,False,False,True,False
7639-LIAYI,0.0,0.7222222222222222,1.0,0.6119402985074627,0.4845372720978537,False,True,True,False,True,False,False,True,False,False,True,True,False,False,False,False,True,True,False,False,True,False,False,False,False,True,False,False,True,False,False,True,False,True,False,True,False,False
2954-PIBKO,0.0,0.9583333333333333,1.0,0.4567164179104478,0.4887260558504501,True,False,False,True,False,True,False,True,False,False,True,True,False,False,False,False,True,True,False,False,False,False,True,False,False,True,True,False,False,True,False,False,False,True,False,True,False,False
8012-SOUDQ,1.0,0.5972222222222222,0.0,0.7164179104477612,0.4407973690283868,True,False,True,False,True,False,False,True,False,False,True,False,True,False,True,False,False,False,False,True,True,False,False,True,False,False,False,False,True,True,False,False,False,True,False,False,True,False
9420-LOJKX,0.0,0.20833333333333331,0.0,0.8044776119402984,0.1624278790676206,True,False,True,False,True,False,False,True,True,False,False,False,True,False,False,False,True,False,False,True,True,False,False,True,False,False,False,False,True,False,False,True,False,True,False,True,False,False
6575-SUVOI,1.0,0.3472222222222222,0.0,0.5099502487562189,0.2000750057696746,True,False,False,True,True,False,False,True,False,False,True,True,False,False,False,False,True,True,False,False,True,False,False,False,False,True,False,False,True,True,False,False,False,True,False,True,False,False
7495-OOKFY,1.0,0.1111111111111111,0.0,0.6208955223880598,0.07090930071543965,True,False,False,True,True,False,False,True,False,False,True,False,True,False,True,False,False,False,False,True,True,False,False,True,False,False,True,False,False,True,False,False,False,True,False,True,False,False
4667-QONEA,1.0,0.8333333333333333,0.5,0.56318407960199,0.5120643895684284,True,False,False,True,False,True,False,True,True,False,False,True,False,False,False,False,True,False,False,True,False,False,True,False,False,True,True,False,False,False,False,True,False,True,False,True,False,False
1658-BYGOY,1.0,0.25,0.0,0.7681592039800995,0.20006346642049389,False,True,True,False,True,False,False,True,False,False,True,False,True,False,True,False,False,True,False,False,True,False,False,True,False,False,False,False,True,False,False,True,False,True,False,False,True,False
8769-KKTPH,0.0,0.875,0.5,0.8099502487562189,0.7261020078467574,True,False,False,True,False,True,False,True,False,False,True,False,True,False,False,False,True,True,False,False,True,False,False,True,False,False,False,False,True,False,False,True,False,True,False,True,False,False
5067-XJQFU,1.0,0.9166666666666666,0.5,0.8975124378109453,0.8143953381029311,False,True,False,True,False,True,False,True,False,False,True,False,True,False,True,False,False,False,False,True,False,False,True,False,False,True,False,False,True,False,False,True,False,True,False,False,True,False
3957-SQXML,0.0,0.4722222222222222,1.0,0.06666666666666665,0.10102700207708286,True,False,False,True,False,True,False,True,False,False,True,False,False,True,False,True,False,False,True,False,False,True,False,False,True,False,False,True,False,False,True,False,True,False,False,True,False,False
5954-BDFSG,0.0,1.0,1.0,0.8880597014925372,0.9040964689591507,True,False,True,False,True,False,False,True,False,False,True,False,True,False,True,False,False,True,False,False,False,False,True,False,False,True,False,False,True,False,False,True,False,True,False,True,False,False
0434-CSFON,0.0,0.6527777777777778,0.0,0.818407960199005,0.5409993076390492,True,False,False,True,True,False,False,True,False,False,True,False,True,False,True,False,False,True,False,False,False,False,True,True,False,False,False,False,True,False,False,True,False,True,False,False,True,False
1215-FIGMP,0.0,0.8333333333333333,0.0,0.7129353233830846,0.6268059081467805,False,True,True,False,True,False,False,True,False,False,True,False,True,False,True,False,False,False,False,True,True,False,False,True,False,False,False,False,True,True,False,False,False,True,True,False,False,False
0526-SXDJP,0.0,1.0,1.0,0.2373134328358209,0.3396261250865451,False,True,False,True,True,False,True,False,False,True,False,True,False,False,False,False,True,False,False,True,False,False,True,True,False,False,True,False,False,True,False,False,True,False,True,False,False,False
0557-ASKVU,0.0,0.25,0.5,0.3597014925373134,0.10827371336256636,True,False,False,True,False,True,False,True,True,False,False,True,False,False,True,False,False,True,False,False,False,False,True,False,False,True,True,False,False,True,False,False,False,True,False,True,False,False
5698-BQJOH,0.0,0.125,0.0,0.7577114427860697,0.0967516732056312,True,False,True,False,True,False,False,True,False,False,True,False,True,False,True,False,False,True,False,False,True,False,False,True,False,False,False,False,True,False,False,True,True,False,False,False,True,False
5122-CYFXA,0.0,0.041666666666666664,0.0,0.5676616915422885,0.025998153704131086,True,False,True,False,True,False,False,True,True,False,False,True,False,False,True,False,False,False,False,True,True,False,False,False,False,True,False,False,True,False,False,True,False,True,False,False,True,False
8627-ZYGSZ,0.0,0.6527777777777778,0.5,0.6034825870646766,0.41905723517193627,False,True,False,True,True,False,False,True,False,False,True,False,True,False,True,False,False,False,False,True,True,False,False,True,False,False,True,False,False,True,False,False,False,True,False,False,True,False
3410-YOQBQ,0.0,0.4305555555555555,1.0,0.6064676616915423,0.28599123009462263,True,False,True,False,True,False,False,True,True,False,False,True,False,False,True,False,False,False,False,True,False,False,True,False,False,True,False,False,True,False,False,True,True,False,False,False,False,True
3170-NMYVV,0.0,0.6944444444444444,1.0,0.018905472636815884,0.10525040387722133,True,False,False,True,False,True,False,True,True,False,False,False,False,True,False,True,False,False,True,False,False,True,False,False,True,False,False,True,False,False,True,False,True,False,True,False,False,False
7410-OIEDU,0.0,0.1388888888888889,0.0,0.6129353233830845,0.10022501730902378,False,True,True,False,True,False,False,True,True,False,False,False,True,False,False,False,True,True,False,False,False,False,True,True,False,False,True,False,False,True,False,False,False,True,False,False,False,True
2273-QCKXA,0.0,0.013888888888888888,0.0,0.30646766169154227,0.0034906531271636275,False,True,True,False,True,False,False,True,True,False,False,True,False,False,True,False,False,True,False,False,True,False,False,False,False,True,True,False,False,True,False,False,True,False,False,False,False,True
0731-EBJQB,0.0,0.7222222222222222,0.5,0.021393034825870627,0.12368451419339951,True,False,False,True,False,True,False,True,True,False,False,False,False,True,False,True,False,False,True,False,False,True,False,False,True,False,False,True,False,False,True,False,False,True,False,False,True,False
1891-QRQSA,1.0,0.8888888888888888,1.0,0.9288557213930347,0.8170090006923609,False,True,False,True,False,True,False,True,False,False,True,False,True,False,False,False,True,True,False,False,False,False,True,False,False,True,False,False,True,False,False,True,False,True,True,False,False,False
8028-PNXHQ,0.0,0.861111111111111,1.0,0.05970149253731341,0.16222017078236786,False,True,False,True,False,True,False,True,False,False,True,False,False,True,False,True,False,False,True,False,False,True,False,False,True,False,False,True,False,False,True,False,False,True,True,False,False,False
5630-AHZIL,0.0,0.041666666666666664,0.0,0.46019900497512434,0.018301407800600047,True,False,True,False,False,True,False,True,True,False,False,True,False,False,False,False,True,True,False,False,True,False,False,False,False,True,True,False,False,False,False,True,False,True,True,False,False,False
2673-CXQEU,1.0,0.7777777777777777,0.5,0.917910447761194,0.7062889453034848,True,False,True,False,True,False,False,True,False,False,True,False,True,False,False,False,True,False,False,True,False,False,True,True,False,False,False,False,True,False,False,True,True,False,False,False,True,False
6416-JNVRK,0.0,0.6388888888888888,0.5,0.37213930348258706,0.30810639279944607,True,False,True,False,True,False,False,True,True,False,False,True,False,False,True,False,False,True,False,False,True,False,False,True,False,False,True,False,False,False,False,True,True,False,False,True,False,False
5590-ZSKRV,0.0,0.1111111111111111,0.0,0.3621890547263681,0.05347911377798293,True,False,False,True,False,True,False,True,True,False,False,True,False,False,False,False,True,False,False,True,True,False,False,True,False,False,True,False,False,True,False,False,True,False,False,False,False,True
0191-ZHSKZ,1.0,0.41666666666666663,0.0,0.5621890547263682,0.24146088160627743,False,True,True,False,True,False,False,True,True,False,False,True,False,False,False,False,True,False,False,True,True,False,False,True,False,False,False,False,True,False,False,True,False,True,False,False,True,False
3887-PBQAO,0.0,0.625,0.5,0.07611940298507458,0.13821832448649896,True,False,False,True,False,True,False,True,False,False,True,False,False,True,False,True,False,False,True,False,False,True,False,False,True,False,False,True,False,False,True,False,False,True,False,True,False,False
5919-TMRGD,0.0,0.013888888888888888,0.0,0.607960199004975,0.006987075928917609,True,False,True,False,False,True,False,True,True,False,False,False,True,False,True,False,False,True,False,False,True,False,False,True,False,False,False,False,True,True,False,False,False,True,False,False,True,False
8108-UXRQN,0.0,0.15277777777777776,0.0,0.32139303482587056,0.06306831294714979,True,False,False,True,False,True,True,False,False,True,False,True,False,False,False,False,True,True,False,False,True,False,False,True,False,False,False,False,True,False,False,True,True,False,False,False,True,False
9191-MYQKX,0.0,0.09722222222222221,0.0,0.5661691542288557,0.055169628432956384,True,False,False,True,True,False,False,True,True,False,False,False,True,False,True,False,False,True,False,False,False,False,True,True,False,False,True,False,False,True,False,False,False,True,True,False,False,False
9919-YLNNG,0.0,0.5833333333333333,0.0,0.8512437810945274,0.4971959381490884,True,False,True,False,True,False,False,True,True,False,False,False,True,False,True,False,False,False,False,True,False,False,True,False,False,True,False,False,True,False,False,True,False,True,True,False,False,False
0318-ZOPWS,0.0,0.6805555555555555,1.0,0.018905472636815884,0.11014885760443112,True,False,False,True,True,False,False,True,True,False,False,False,False,True,False,True,False,False,True,False,False,True,False,False,True,False,False,True,False,False,True,False,False,True,True,False,False,False
4445-ZJNMU,0.0,0.125,0.0,0.8064676616915423,0.10384837295176552,False,True,True,False,True,False,False,True,False,False,True,False,True,False,True,False,False,False,False,True,True,False,False,True,False,False,False,False,True,False,False,True,False,True,False,True,False,False
4808-YNLEU,0.0,0.4861111111111111,0.5,0.43681592039800987,0.2534791137779829,True,False,False,True,True,False,False,True,True,False,False,True,False,False,False,False,True,True,False,False,True,False,False,True,False,False,False,False,True,True,False,False,False,True,True,False,False,False
1862-QRWPE,0.0,0.6666666666666666,1.0,0.023880597014925342,0.11980152319409186,True,False,False,True,False,True,False,True,True,False,False,False,False,True,False,True,False,False,True,False,False,True,False,False,True,False,False,True,False,False,True,False,True,False,True,False,False,False
2796-NNUFI,0.0,0.6388888888888888,1.0,0.01691542288557213,0.1048119086083545,True,False,False,True,False,True,False,True,True,False,False,False,False,True,False,True,False,False,True,False,False,True,False,False,True,False,False,True,False,False,True,False,False,True,False,False,False,True
3016-KSVCP,0.0,0.40277777777777773,0.0,0.154228855721393,0.11429148396030464,False,True,False,True,True,False,True,False,False,True,False,True,False,False,True,False,False,True,False,False,True,False,False,True,False,False,False,False,True,True,False,False,True,False,False,False,False,True
4767-HZZHQ,0.0,0.41666666666666663,0.0,0.6348258706467661,0.29441495499653814,False,True,False,True,False,True,False,True,True,False,False,False,True,False,True,False,False,False,False,True,False,False,True,True,False,False,True,False,False,True,False,False,True,False,True,False,False,False
2424-WVHPL,1.0,0.013888888888888888,0.0,0.5616915422885572,0.006450496192014771,False,True,True,False,True,False,False,True,True,False,False,False,True,False,True,False,False,True,False,False,True,False,False,False,False,True,True,False,False,True,False,False,True,False,False,False,True,False
7233-PAHHL,0.0,0.9166666666666666,1.0,0.654228855721393,0.6572178629125317,False,True,False,True,False,True,False,True,False,False,True,True,False,False,False,False,True,True,False,False,False,False,True,False,False,True,False,False,True,False,False,True,False,True,False,False,False,True
6067-NGCEU,0.0,0.9027777777777777,0.0,0.9233830845771144,0.8179321486268175,True,False,True,False,True,False,False,True,False,False,True,False,True,False,False,False,True,False,False,True,False,False,True,True,False,False,False,False,True,False,False,True,False,True,False,True,False,False
9848-JQJTX,0.0,1.0,1.0,0.8223880597014926,0.8585564274174937,False,True,True,False,True,False,False,True,False,False,True,False,True,False,True,False,False,False,False,True,False,False,True,True,False,False,False,False,True,False,False,True,False,True,True,False,False,False
8637-XJIVR,0.0,0.16666666666666666,0.0,0.6039800995024875,0.10484075698130627,True,False,True,False,True,False,False,True,False,False,True,False,True,False,False,False,True,True,False,False,True,False,False,True,False,False,True,False,False,True,False,False,False,True,False,False,True,False
9803-FTJCG,0.0,0.986111111111111,0.5,0.4835820895522387,0.545799676898223,False,True,False,True,False,True,False,True,False,False,True,True,False,False,False,False,True,False,False,True,True,False,False,False,False,True,True,False,False,True,False,False,False,True,False,True,False,False
0278-YXOOG,0.0,0.06944444444444445,0.0,0.027860696517412936,0.010968151396261252,False,True,True,False,True,False,False,True,True,False,False,False,False,True,False,True,False,False,True,False,False,True,False,False,True,False,False,True,False,False,True,False,True,False,False,False,False,True
3212-KXOCR,0.0,0.7222222222222222,1.0,0.027363184079601977,0.12559427648280638,False,True,True,False,True,False,False,True,True,False,False,False,False,True,False,True,False,False,True,False,False,True,False,False,True,False,False,True,False,False,True,False,True,False,True,False,False,False
4598-XLKNJ,1.0,0.3472222222222222,0.0,0.7985074626865671,0.2879875375028848,True,False,False,True,True,False,False,True,True,False,False,False,True,False,True,False,False,False,False,True,False,False,True,True,False,False,False,False,True,False,False,True,False,True,False,False,True,False
6380-ARCEH,0.0,0.013888888888888888,0.0,0.019402985074626844,0.0001615508885298867,False,True,True,False,True,False,False,True,True,False,False,False,False,True,False,True,False,False,True,False,False,True,False,False,True,False,False,True,False,False,True,False,True,False,False,False,False,True
3679-XASPY,0.0,0.013888888888888888,0.0,0.011940298507462671,7.500576967459007e-05,True,False,False,True,False,True,False,True,True,False,False,False,False,True,False,True,False,False,True,False,False,True,False,False,True,False,False,True,False,False,True,False,True,False,False,False,True,False
7123-WQUHX,0.0,0.5277777777777778,0.5,0.763681592039801,0.41389337641357027,False,True,True,False,True,False,False,True,False,False,True,False,True,False,True,False,False,True,False,False,False,False,True,False,False,True,False,False,True,True,False,False,True,False,True,False,False,False
5386-THSLQ,1.0,0.9166666666666666,0.5,0.2716417910447761,0.3471555504269559,True,False,False,True,True,False,True,False,False,True,False,True,False,False,True,False,False,False,False,True,False,False,True,True,False,False,False,False,True,True,False,False,True,False,True,False,False,False
3192-NQECA,0.0,0.9444444444444444,1.0,0.9129353233830845,0.8761885529656128,False,True,False,True,True,False,False,True,False,False,True,False,True,False,True,False,False,False,False,True,False,False,True,False,False,True,False,False,True,False,False,True,False,True,True,False,False,False
6180-YBIQI,0.0,0.06944444444444445,0.0,0.06019900497512437,0.009393030233094853,False,True,True,False,True,False,True,False,False,True,False,True,False,False,True,False,False,True,False,False,True,False,False,True,False,False,True,False,False,True,False,False,True,False,False,False,False,True
6728-DKUCO,0.0,1.0,0.5,0.854726368159204,0.840555042695592,True,False,False,True,False,True,False,True,False,False,True,False,True,False,False,False,True,False,False,True,True,False,False,True,False,False,False,False,True,False,False,True,False,True,False,False,True,False
9750-BOOHV,0.0,0.4444444444444444,0.5,0.11840796019900496,0.10487537502884837,True,False,True,False,True,False,True,False,False,True,False,True,False,False,False,False,True,True,False,False,True,False,False,True,False,False,True,False,False,True,False,False,True,False,False,False,False,True
8597-CWYHH,0.0,0.5972222222222222,0.5,0.7572139303482587,0.4503231017770598,False,True,True,False,True,False,False,True,False,False,True,False,True,False,True,False,False,True,False,False,True,False,False,True,False,False,False,False,True,False,False,True,True,False,False,False,False,True
